Object Number,Is Highlight,Is Timeline Work,Is Public Domain,Object ID,Gallery Number,Department,AccessionYear,Object Name,Title,Culture,Period,Dynasty,Reign,Portfolio,Constituent ID,Artist Role,Artist Prefix,Artist Display Name,Artist Display Bio,Artist Suffix,Artist Alpha Sort,Artist Nationality,Artist Begin Date,Artist End Date,Artist Gender,Artist ULAN URL,Artist Wikidata URL,Object Date,Object Begin Date,Object End Date,Medium,Dimensions,Credit Line,Geography Type,City,State,County,Country,Region,Subregion,Locale,Locus,Excavation,River,Classification,Rights and Reproduction,Link Resource,Object Wikidata URL,Metadata Date,Repository,Tags,Tags AAT URL,Tags Wikidata URL
74.51.4348,False,False,True,321436,,Ancient Near Eastern Art,1874,Cylinder seal,Cylinder seal,Cypriot,Late Cypriot,,,,,,,,,,,,,,,,,ca. 15th–12th century BCE,-1500,-1100,Steatite,1.04 in. (2.64 cm),"The Cesnola Collection, Purchased by subscription, 1874–76",,,,,,Cyprus,,,,,,Stone-Cylinder Seals,,http://www.metmuseum.org/art/collection/search/321436,,,"Metropolitan Museum of Art, New York, NY",,,
96.14.279,False,False,True,66004,,Asian Art,1896,Piece,,Japan,Edo (1615–1868),,,,,,,,,,,,,,,,,18th–19th century,1700,1899,Silk,6 3/4 x 3 3/4 in. (17.15 x 9.53 cm),"Gift of Mr. and Mrs. H. O. Havemeyer, 1896",,,,,,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/66004,,,"Metropolitan Museum of Art, New York, NY",,,
1991.1251,False,False,False,266543,,Photographs,1991,Photograph,"Pep Rally, Churchill High School",,,,,,5638,Artist, ,Geoff Winningham,"American, born 1943", ,"Winningham, Geoff",American,1943      ,9999      ,,http://vocab.getty.edu/page/ulan/500074126,https://www.wikidata.org/wiki/Q43140034,1976,1976,1976,Gelatin silver print,29.9 x 44.9 cm. (11  3/4  x 17  11/16  in.),"Stewart S. MacDermott Fund, 1991",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/266543,,,"Metropolitan Museum of Art, New York, NY",,,
45.34.8,False,False,False,488191,,Modern and Contemporary Art,1945,Drawing,Jive,,,,,,16239,Artist, ,Louis Schanker,"American, New York 1903–1981 New York", ,"Schanker, Louis",American,1903      ,1981      ,,http://vocab.getty.edu/page/ulan/500041072,https://www.wikidata.org/wiki/Q6688131,1944,1944,1944,"Opaque, matte paint and pen and black ink on paper",14 3/4 × 22 in. (35.6 × 53.3 cm),"George A. Hearn Fund, 1944",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/488191,,,"Metropolitan Museum of Art, New York, NY",Abstraction,http://vocab.getty.edu/page/aat/300056508,https://www.wikidata.org/wiki/Q162150
68.91.3,False,False,False,489769,,Modern and Contemporary Art,1968,Drawing,Georgette Ouzounoff,,,,,,14511,Artist, ,Gaston Lachaise,American (born France) 1882–1935, ,"Lachaise, Gaston",American,1882      ,1935      ,,http://vocab.getty.edu/page/ulan/500001766,https://www.wikidata.org/wiki/Q1495586,1931–32,1931,1932,Graphite on paper,21 1/2 x 15 3/4 in. (54.6 x 40 cm),"Bequest of Allys Lachaise, 1967",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/489769,,,"Metropolitan Museum of Art, New York, NY",Portraits|Women,http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300025943,https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q467
46.64.13,False,False,True,5303,774,The American Wing,1946,Mug,Mug,British (American market),,,,,,,,,,,,,,,,,,1740–60,1740,1760,Stoneware,H. 6 5/8 in. (16.8 cm); Diam. 4 3/8 in. (11.1 cm),"Gift of Mrs. Russell S. Carter, 1946",Made in,,Staffordshire,Staffordshire,England,,,,,,,,,http://www.metmuseum.org/art/collection/search/5303,https://www.wikidata.org/wiki/Q116365750,,"Metropolitan Museum of Art, New York, NY",,,
17.3.2826,False,False,False,435344,,Drawings and Prints,1917,Print,Happy Spring Time,,,,,"A Selection of Etchings by the Etching Club, plate 1",2016751649158061,Sitter|Artist|Publisher,Possibly represents| | ,Effie Millais|Sir John Everett Millais|The Etching Club,"British, 1828–1897|British, Southampton 1829–1896 London|London", | | ,"Millais, Effie|Millais, John Everett, Sir|Etching Club",British|British|British,1828      |1829      |1837      ,1897      |1896      |1885      ,||,(not assigned)|http://vocab.getty.edu/page/ulan/500031367|,https://www.wikidata.org/wiki/Q271543|https://www.wikidata.org/wiki/Q159606|,1865,1865,1865,Etching,"Image: 5 1/8 × 3 9/16 in. (13 × 9 cm)
Sheet: 9 1/2 × 6 1/2 in. (24.1 × 16.5 cm)","Harris Brisbane Dick Fund, 1917",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/435344,,,"Metropolitan Museum of Art, New York, NY",,,
WW.515,False,False,True,649902,,Drawings and Prints,,Print,The Rescued Princess (Die befreite Prinzessin),,,,,,7868116272,Artist|Publisher, | ,Moriz Jung|Wiener Werkstätte,Austrian (born Czechoslovakia) Moravia 1885–1915 Manilowa (Carpathians)| , | ,"Jung, Moriz|Wiener Werkstätte",Austrian| ,1885      |          ,1915      |          ,|,http://vocab.getty.edu/page/ulan/500123693|http://vocab.getty.edu/page/ulan/500268774,https://www.wikidata.org/wiki/Q1948189|https://www.wikidata.org/wiki/Q241338,1911,1911,1911,Color lithograph,Sheet: 5 1/2 × 3 7/16 in. (14 × 8.8 cm),"Museum Accession, transferred from the Library",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/649902,,,"Metropolitan Museum of Art, New York, NY",Women|Crocodiles,http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300250293,https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q2535664
1991.180.7,False,False,False,485747,,Modern and Contemporary Art,1991,Cup,"""Museum"" Cup",,,,,,14777315347,Designer|Manufacturer, | ,Eva Zeisel|Castleton China,"American, Budapest 1906–2011 New City, New York|New Castle, Pennsylvania", | ,"Zeisel, Eva|Castleton China",American| ,1906      |          ,2011      |          ,Female|,http://vocab.getty.edu/page/ulan/500092239|http://vocab.getty.edu/page/ulan/500334814,https://www.wikidata.org/wiki/Q216141|,1946,1946,1946,"Porcelain
",2 x 5 1/2 x Diam. 4 1/2 in. (5.1 x 14 x 11.4 cm),"Gift of Amelia Peck, in memory of Kate Simon, 1991",,,,,,,,,,,,Ceramics-Porcelain,© Estate of Eva Zeisel,http://www.metmuseum.org/art/collection/search/485747,,,"Metropolitan Museum of Art, New York, NY",,,
46.109.1,False,False,False,351554,,Drawings and Prints,1946,Book,"La Magnifica et Triumphale entrata del Christianiss. Re di Francia Henrico secundo..fatta nella..citta di Lyone..alli 21. di Septemb., 1548",,,,,,917188616,Binder|Printer,Bound by|Printed by,Masson-Debonelle|Guillaume Rouille," |French, active Lyon, 16th century", | ,"Masson-Debonelle|Rouille, Guillaume",French|French,          |1500      ,          |1599      ,|,|,|,"September 21, 1548",1548,1548,,Overall: 8 1/16 x 5 11/16 x 1/2 in. (20.4 x 14.5 x 1.2 cm),"Harris Brisbane Dick Fund, 1946",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/351554,,,"Metropolitan Museum of Art, New York, NY",,,
2002.379.70,False,False,False,284328,,Photographs,2002,Photograph,"Alexandra Tolstoy, Daughter of Leo Tolstoy, New York City",,,,,,16163,Artist, ,Richard Avedon,"American, New York 1923–2004 San Antonio, Texas", ,"Avedon, Richard",American,1923      ,2004      ,,http://vocab.getty.edu/page/ulan/500013773,https://www.wikidata.org/wiki/Q305497,"July 29, 1975",1975,1975,Gelatin silver print,"Image: 92.7 x 73.7cm (36 1/2 x 29in.)
Frame: 105.4 x 84.8 cm (41 1/2 x 33 3/8 in.)","Gift of the artist, 2002",,,,,,,,,,,,Photographs,© Richard Avedon,http://www.metmuseum.org/art/collection/search/284328,,,"Metropolitan Museum of Art, New York, NY",,,
27.185.395,False,False,True,196134,,European Sculpture and Decorative Arts,1927,Saucer ,Miniature saucer (part of a dollhouse set),German,,,,,,,,,,,,,,,,,,early 19th century,1800,1815,Glass,Diam. 15/16 in. (2.4 cm.),"Munsey Fund, 1927",,,,,,,,,,,,Glass,,http://www.metmuseum.org/art/collection/search/196134,,,"Metropolitan Museum of Art, New York, NY",,,
62.652.7(16),False,False,False,729944,,Drawings and Prints,1962,Print Ornament & Architecture,"Le Vrai et le Faux Chic, Musée des Erreurs, Page 15",,,,,,822878228,Publisher|Artist, | ,Succés|Georges Goursat [Sem]," |French, Perigueux 1863–1934 Paris",", Paris| ","Succés|Goursat, Georges [Sem]",French|French,          |1863      ,          |1934      ,|,|,|,1914,1914,1914,Color lithograph,Sheet: 17 7/8 × 12 13/16 in. (45.4 × 32.6 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1962",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/729944,,,"Metropolitan Museum of Art, New York, NY",,,
53.601.12(28),False,False,False,638306,,Drawings and Prints,1953,Print,The Resurrection,,,,,,7360616254,Artist and publisher|Artist, |After,Aegidius Sadeler II|Jacopo Tintoretto (Jacopo Robusti),"Netherlandish, Antwerp 1568–1629 Prague|Italian, Venice 1518/19–1594 Venice", | ,"Sadeler, Aegidius, II|Tintoretto, Jacopo (Jacopo Robusti)",Netherlandish|Italian,1568      |1518      ,1629      |1594      ,|,http://vocab.getty.edu/page/ulan/500016165|http://vocab.getty.edu/page/ulan/500011407,https://www.wikidata.org/wiki/Q1297898|https://www.wikidata.org/wiki/Q9319,1600–20,1600,1620,Engraving,Sheet (Trimmed): 9 5/8 × 7 7/8 in. (24.5 × 20 cm),"Harris Brisbane Dick Fund, 1953",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/638306,,,"Metropolitan Museum of Art, New York, NY",,,
2008.440.3,False,False,True,400114,,Drawings and Prints,2008,Drawing,A Dragonfly,,,,,,9799,Artist, ,Nicolaas Struyk,Amsterdam 1686–1769 Amsterdam, ,"Struyk, Nicolaas",Dutch,1686      ,1769      ,,,,early 18th–mid 18th century,1706,1769,"Pen and black ink and watercolor, over touches of graphite",sheet: 5 3/16 x 7 1/2 in. (13.2 x 19.1 cm),"Bequest of Catherine G. Curran, 2008",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/400114,,,"Metropolitan Museum of Art, New York, NY",Dragonflies,http://vocab.getty.edu/page/aat/300310476,https://www.wikidata.org/wiki/Q80066
36.90.2155,False,False,False,225234,,European Sculpture and Decorative Arts,1936,Piece,Piece,French,,,,,,,,,,,,,,,,,,19th century,1800,1899,Silk,,"Gift of The United Piece Dye Works, 1936",,,,,,,,,,,,Textiles-Woven,,http://www.metmuseum.org/art/collection/search/225234,,,"Metropolitan Museum of Art, New York, NY",Flowers|Leaves,http://vocab.getty.edu/page/aat/300132399|http://vocab.getty.edu/page/aat/300011892,https://www.wikidata.org/wiki/Q506|https://www.wikidata.org/wiki/Q33971
62.652.2,False,False,False,353988,,Drawings and Prints,1962,Book,"Beschryvinge Van Het Zeven Honderdjaerig Jubile van den Heyligen Macarius, Bezonderen Patroon Tegen de Poste...",,,,,,8496276398899518995,Publisher|Designer|Designer|Designer,Published by|Designed by|Designed by|Designed by,Jan Thomas Meyer|Michel Heylbrouck|Jan Ludewig Wouters|P. Wouters, |1635–1733| | ,", Ghent| | | ","Meyer, Jan Thomas|Heylbrouck, Michel|Wouters, Jan Ludewig|Wouters, P.",Netherlandish|Netherlandish|Netherlandish|Netherlandish,          |1635      |          |          ,          |1733      |          |          ,|||,|http://vocab.getty.edu/page/ulan/500043227||,|https://www.wikidata.org/wiki/Q21637794||,1767,1767,1767,,Overall: 10 1/4 x 8 1/4 x 13/16 in. (26 x 21 x 2 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1962",,,,,,,,,,,,Books,,http://www.metmuseum.org/art/collection/search/353988,,,"Metropolitan Museum of Art, New York, NY",,,
14.40.684,False,False,True,192724,,European Sculpture and Decorative Arts,1914,Statue,The Virgin Annunciate,"Italian, Florence",,,,,16167,Artist,After an original by,Benedetto da Maiano,"Italian, Maiano 1442–1497 Florence", ,Benedetto da Maiano,Italian,1442      ,1497      ,,http://vocab.getty.edu/page/ulan/500006675,https://www.wikidata.org/wiki/Q675619,late 15th century,1485,1499,"Terracotta, painted",Height: 40 1/8 in. (101.9 cm),"Bequest of Benjamin Altman, 1913",,,,,,,,,,,,Sculpture,,http://www.metmuseum.org/art/collection/search/192724,,,"Metropolitan Museum of Art, New York, NY",Virgin Mary,http://vocab.getty.edu/page/ia/901000032,https://www.wikidata.org/wiki/Q345
1998.544.272,False,False,True,50104,,Asian Art,1998,Ear Ornament,,Indonesia (Java),Proto–classical or Central Javanese period,,,,,,,,,,,,,,,,,3rd century–second half of the 10th century,200,999,Gold,H. 9/16 in. (1.4 cm),"The Samuel Eilenberg-Jonathan P. Rosen Collection of Indonesian Gold, Bequest of Samuel Eilenberg and Gift of Jonathan P. Rosen, 1998",,,,,,,,,,,,Jewelry,,http://www.metmuseum.org/art/collection/search/50104,,,"Metropolitan Museum of Art, New York, NY",,,
1977.329.15,False,False,False,108719,,Costume Institute,1977,Shirt,Shirt,American,,,,,16315,Designer, ,Brooks Brothers,"American, founded 1818", ,Brooks Brothers,American,1818      ,9999      ,,http://vocab.getty.edu/page/ulan/500524265,https://www.wikidata.org/wiki/Q929722,1940s–50s,1940,1959,"cotton, linen",,"Gift of Col. Edgar W. Garbisch, 1977",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/108719,,,"Metropolitan Museum of Art, New York, NY",,,
55.540.20,False,False,True,383975,,Drawings and Prints,1955,Drawing,Ornament Containing a Boy and some Sheep,,,,,,6984,Artist, ,"Anonymous, German, 19th century", , ,"Anonymous, German, 19th century",German,1800      ,1899      ,,,,ca. 1780–1820,1775,1825,"Pen and brown ink, graphite with touches of black crayon",sheet: 5 1/8 x 7 1/4 in. (13 x 18.4 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1955",,,,,,,,,,,,Drawings,,http://www.metmuseum.org/art/collection/search/383975,,,"Metropolitan Museum of Art, New York, NY",Ornament|Boys|Sheep,http://vocab.getty.edu/page/aat/300164595|http://vocab.getty.edu/page/aat/300247598|http://vocab.getty.edu/page/aat/300250284,https://www.wikidata.org/wiki/Q335261|https://www.wikidata.org/wiki/Q3010|https://www.wikidata.org/wiki/Q7368
06.1021.147,False,False,True,247311,,Greek and Roman Art,1906,Olpe,Olpe,"Greek, Attic",Classical,,,,,,,,,,,,,,,,,ca. 430 BCE,-430,-430,Terracotta,"5 3/16 × 3 9/16 in. (13.2 × 9 cm)
Diam. of rim: 2 1/2 in. (6.4 cm)
Diam. of foot: 2 1/8 in. (5.4 cm)","Rogers Fund, 1906",,,,,,,,,,,,Vases,,http://www.metmuseum.org/art/collection/search/247311,,,"Metropolitan Museum of Art, New York, NY",Human Figures,http://vocab.getty.edu/page/aat/300404114,https://www.wikidata.org/wiki/Q5937779
"1996.185.5a, b",False,False,False,79003,,Costume Institute,1996,Suit,Suit,Italian,,,,,258472015,Design House|Designer, | ,Giorgio Armani|Giorgio Armani,"Italian, founded 1974|Italian, born 1934", | ,Armani|Armani Giorgio,Italian|Italian,1974      |1934-07-11,9999      |9999      ,|,(not assigned)|http://vocab.getty.edu/page/ulan/500016277,https://www.wikidata.org/wiki/Q157054|https://www.wikidata.org/wiki/Q157054,ca. 1993,1988,1996,"silk, wool",,"Gift of Anne H. Bass, 1996",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/79003,,,"Metropolitan Museum of Art, New York, NY",,,
12.180.246,False,False,False,565088,107,Egyptian Art,1912,"Relief, Tomb of Dagi",Shoulders and neck of a large figure of Dagi,,Middle Kingdom,Dynasty 11,late reign of Mentuhotep II or later,,,,,,,,,,,,,,,ca. 2010–2000 B.C. or ca. 2000–1981 B.C.,-2010,-1981,"Limestone, paint",H. 19.5 × W. 40.5 cm (7 11/16 × 15 15/16 in.),"Rogers Fund, 1912",From,,,,Egypt,"Upper Egypt, Thebes",Sheikh Abd el-Qurna,"Tomb of Dagi (TT 103, MMA 807)",,"MMA excavations, 1911–12",,,,http://www.metmuseum.org/art/collection/search/565088,https://www.wikidata.org/wiki/Q116439812,,"Metropolitan Museum of Art, New York, NY",,,
1999.529.78,False,False,False,491485,,Modern and Contemporary Art,1999,Print,Jitterbugs V,,,,,,14481,Artist, ,William Henry Johnson,"American, Florence, South Carolina 1901–1970 Central Islip, New York", ,"Johnson, William",American,1901      ,1970      ,,http://vocab.getty.edu/page/ulan/500027150,https://www.wikidata.org/wiki/Q1883000,ca. 1941–42,1935,1945,Screenprint,17 1/2 × 11 1/4 in. (44.5 × 28.6 cm),"Gift of Reba and Dave Williams, 1999",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/491485,https://www.wikidata.org/wiki/Q20191820,,"Metropolitan Museum of Art, New York, NY",Men|Women|Drums|Trumpets|Dancers,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300025943|http://vocab.getty.edu/page/aat/300041729|http://vocab.getty.edu/page/aat/300042339|http://vocab.getty.edu/page/aat/300025653,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q467|https://www.wikidata.org/wiki/Q11404|https://www.wikidata.org/wiki/Q8338|https://www.wikidata.org/wiki/Q5716684
1986.416.8,False,False,False,484629,,Modern and Contemporary Art,1986,Drawing,Untitled,,,,,,16237,Artist, ,Lucas Samaras,"American (born Greece), Kastoria, 1936", ,"Samaras, Lucas","American, born Greece",1936      ,9999      ,,http://vocab.getty.edu/page/ulan/500021682,https://www.wikidata.org/wiki/Q663175,1960,1960,1960,Pastel on paper,"12 x 9in. (30.5 x 22.9cm)
Frame: 23 × 17 × 1 1/2 in. (58.4 × 43.2 × 3.8 cm)","Gift of Arnold and Milly Glimcher, 1986",,,,,,,,,,,,Drawings,©Lucas Samaras,http://www.metmuseum.org/art/collection/search/484629,,,"Metropolitan Museum of Art, New York, NY",Abstraction,http://vocab.getty.edu/page/aat/300056508,https://www.wikidata.org/wiki/Q162150
C.I.64.31.2a–c,False,False,True,91690,,Costume Institute,1964,Suit,Suit,French,,,,,,,,,,,,,,,,,,1760–80,1760,1780,silk,,"Purchase, Irene Lewisohn Bequest, 1964",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/91690,,,"Metropolitan Museum of Art, New York, NY",,,
32.54.1(50),False,False,True,659047,,Drawings and Prints,1932,Books Prints Ornament & Architecture,"Opera Nova Universali intitulata Corona di racammi, page 25 (verso)",,,,,,7792,Publisher, ,Giovanni Andrea Vavassore,"Italian, active Venice 1530–1573",", Venice","Vavassore, Giovanni Andrea",Italian,1530      ,1573      ,,http://vocab.getty.edu/page/ulan/500056479,https://www.wikidata.org/wiki/Q17181905,[1530],1530,1530,Woodcut,Overall: 8 7/8 x 6 7/8 in. (22.5 x 17.5 cm),"Harris Brisbane Dick Fund, 1932",,,,,,,,,,,,Books|Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/659047,,,"Metropolitan Museum of Art, New York, NY",,,
21.10.1(26),False,False,False,727062,,Drawings and Prints,1921,"Print
Ornament & Architecture",Grotesque Panel,,,,,Petites Grotesques,16364916264,Artist|Artist, |After,Jacques Androuet Du Cerceau|Enea Vico,"French, Paris 1510/12–1585 Annecy|Italian, Parma 1523–1567 Ferrara", | ,"Du Cerceau, Jacques Androuet|Vico, Enea",French|Italian,1510      |1523      ,1585      |1567      ,|,http://vocab.getty.edu/page/ulan/500008202|http://vocab.getty.edu/page/ulan/500011571,https://www.wikidata.org/wiki/Q781934|https://www.wikidata.org/wiki/Q3725198,1550,1550,1550,Etching; second state of three,Sheet (trimmed): 4 1/8 × 2 5/8 in. (10.4 × 6.7 cm),"Harris Brisbane Dick Fund, 1923",,,,,,,,,,,,Prints|Ornament & Architecture,,http://www.metmuseum.org/art/collection/search/727062,,,"Metropolitan Museum of Art, New York, NY",,,
13.190.197,False,False,True,446471,,Islamic Art,1913,Ceramic fragment,Fragment of a Luster Dish,,,,,,,,,,,,,,,,,,,11th–12th century,1000,1199,Stonepaste; glazed and luster-painted with scratches on the luster,,"Rogers Fund, 1913",Attributed to,,,,Syria,,,,,,,Ceramics,,http://www.metmuseum.org/art/collection/search/446471,,,"Metropolitan Museum of Art, New York, NY",,,
2005.443.6,False,False,False,455234,,Islamic Art,2005,Ornament,Dorsal Plait Ornament,,,,,,,,,,,,,,,,,,,late 19th–early 20th century,1875,1925,"Silver; fire-gilded, with stamped and applied decoration, Persian silver coins, table-cut carnelians, loop-in-loop chains, bells, and cordiform pendants","H. 22 3/8 in. (56.8 cm)
W. 5 3/4 in. (14.7 cm)","Gift of Marshall and Marilyn R. Wolf, 2005",Attributed to,,,,,Central Asia or Iran,,,,,,Jewelry,,http://www.metmuseum.org/art/collection/search/455234,,,"Metropolitan Museum of Art, New York, NY",,,
63.350.247.226.10,False,False,False,694418,,Drawings and Prints,1963,Print,"Stanley Ketchel, from the Pugilistic Subjects series (T226), issued by Red Sun Cigarettes",,,,,,10710,Publisher,Issued by,Red Sun Cigarettes, , ,Red Sun Cigarettes,American,          ,          ,,,,1908–1910,1908,1910,Commercial color lithograph,Sheet: 2 5/8 × 1 7/16 in. (6.6 × 3.7 cm),"The Jefferson R. Burdick Collection, Gift of Jefferson R. Burdick",,,,,,,,,,,,Prints|Ephemera,,http://www.metmuseum.org/art/collection/search/694418,,,"Metropolitan Museum of Art, New York, NY",Men|Portraits|Boxing|Athletes,http://vocab.getty.edu/page/aat/300025928|http://vocab.getty.edu/page/aat/300015637|http://vocab.getty.edu/page/aat/300374825|http://vocab.getty.edu/page/aat/300236025,https://www.wikidata.org/wiki/Q8441|https://www.wikidata.org/wiki/Q134307|https://www.wikidata.org/wiki/Q32112|https://www.wikidata.org/wiki/Q2066131
2005.100.491.1 (17a),False,False,True,287617,,Photographs,1999,Photograph,"[Kitchen and Stables of Government House, Calcutta]",,,,,,5975,Artist, ,John Constantine Stanley,"British, 1837–1878", ,"Stanley, John Constantine",British,1837      ,1878      ,,,,1858–61,1858,1861,Albumen silver print,"Image: 12.2 x 18.8 cm (4 13/16 x 7 3/8 in.)
Mount: 33 x 26.2 cm (13 x 10 5/16 in.)","Gilman Collection, Purchase, Cynthia Hazen Polsky Gift, 2005",,,,,,,,,,,,Photographs,,http://www.metmuseum.org/art/collection/search/287617,,,"Metropolitan Museum of Art, New York, NY",Buildings|Cities,http://vocab.getty.edu/page/aat/300004789|http://vocab.getty.edu/page/aat/300008389,https://www.wikidata.org/wiki/Q41176|https://www.wikidata.org/wiki/Q515
14.1.546,False,False,True,475012,,Medieval Art,1914,Fragment,Papyrus Fragment of Two Letters,Coptic,,,,,,,,,,,,,,,,,,580–640,580,640,Papyrus with ink,"Overall: 1 11/16 x 3 9/16 in. (4.3 x 9.1 cm)
Framed: 2 1/4 x 4 in. (5.7 x 10.1 cm)","Rogers Fund, 1914",Made in,Thebes,,,Byzantine Egypt,,,,,,,Papyrus,,http://www.metmuseum.org/art/collection/search/475012,,,"Metropolitan Museum of Art, New York, NY",Correspondence|Coptic,http://vocab.getty.edu/page/aat/300026877|http://vocab.getty.edu/page/aat/300388268,https://www.wikidata.org/wiki/Q1784733|https://www.wikidata.org/wiki/Q36155
1983.603.11,False,False,False,314742,,"Arts of Africa, Oceania, and the Americas",1983,Tray,Ifa Divination Tray (Opon Ifa),Yoruba peoples,,,,,,,,,,,,,,,,,,19th–20th century,1800,2000,Wood,H x W x D: 15 1/4 x 15 1/2 x 1in. (38.7 x 39.4 x 2.5cm),"Gift of Martin L. Schulman, M.D., 1983",,,,,Nigeria,,,,,,,Wood-Implements,,http://www.metmuseum.org/art/collection/search/314742,,,"Metropolitan Museum of Art, New York, NY",Human Figures,http://vocab.getty.edu/page/aat/300404114,https://www.wikidata.org/wiki/Q5937779
74.51.916,False,False,True,240505,,Greek and Roman Art,1874,Spindle whorl,Conical-hemispherical spindle-whorl with flat base,Cypriot,Early Cypriot III–Middle Cypriot II,,,,,,,,,,,,,,,,,ca. 2000–1725 BCE,-2000,-1725,Terracotta,H. 1 3/8 in. (3.5 cm),"The Cesnola Collection, Purchased by subscription, 1874–76",,,,,,,,,,,,Vases|Terracottas,,http://www.metmuseum.org/art/collection/search/240505,,,"Metropolitan Museum of Art, New York, NY",,,
59.500.687(100),False,False,True,813413,,Drawings and Prints,1959,Print,"""The Little Red Man"" from The Complete Works of Béranger",,,,,Oeuvres complètes de Béranger,71882161721690611042587020,Author|Engraver|Illustrator|Engraver|Publisher, | | | | ,Pierre Jean de Béranger|Louis-Henri Brevière|J. J. Grandville|César-Auguste Hébert|Fournier & Perrotin,"French, Paris 1780–1857 Paris|French, Forges-les-Eaux 1797–1869 Hyers|French, Nancy 1803–1847 Vanves|French, active 19th century|French", | | | | ,"Béranger, Pierre Jean de|Brevière, Louis-Henri|Grandville, J. J.|Hébert, César-Auguste|Fournier & Perrotin",French|French|French|French|French,1780      |1797      |1803      |0019      |          ,1857      |1869      |1847      |0019      |          ,||||,http://vocab.getty.edu/page/ulan/500524810|http://vocab.getty.edu/page/ulan/500524216|http://vocab.getty.edu/page/ulan/500029535||,https://www.wikidata.org/wiki/Q324998|https://www.wikidata.org/wiki/Q3260577|https://www.wikidata.org/wiki/Q744442||,1836,1836,1836,Wood engraving,Sheet: 8 5/8 × 5 1/2 in. (21.9 × 14 cm),"The Elisha Whittelsey Collection. The Elisha Whittelsey Fund, 1959",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/813413,,,"Metropolitan Museum of Art, New York, NY",,,
60.620.17,False,False,False,706028,,Drawings and Prints,1960,Print,The Feast of the Gods at the Marriage of Cupid and Psyche [left plate],,,,,,1624609735616540,Artist|Publisher|Artist,After| | ,Bartholomeus Spranger|Ludovici Renard|Hendrick Goltzius,"Netherlandish, Antwerp 1546–1611 Prague| |Netherlandish, Mühlbracht 1558–1617 Haarlem", | | ,"Spranger, Bartholomeus|Renard, Ludovici|Goltzius, Hendrick",Netherlandish| |Netherlandish,1546      |          |1558      ,1611      |          |1617      ,||,http://vocab.getty.edu/page/ulan/500018180||http://vocab.getty.edu/page/ulan/500023327,https://www.wikidata.org/wiki/Q447682||https://www.wikidata.org/wiki/Q165367,1587,1587,1587,Engraving,17 1/16 × 11 3/8 in. (43.3 × 28.9 cm),"The Elisha Whittelsey Collection, The Elisha Whittelsey Fund, 1960",,,,,,,,,,,,Prints,,http://www.metmuseum.org/art/collection/search/706028,,,"Metropolitan Museum of Art, New York, NY",,,
C.I.41.170.23,False,False,False,119160,,Costume Institute,1941,Collar,Collar,American,,,,,,,,,,,,,,,,,,1890s,1890,1899,jet,,"Gift of Miss Irene Lewisohn, 1941",,,,,,,,,,,,,,http://www.metmuseum.org/art/collection/search/119160,,,"Metropolitan Museum of Art, New York, NY",,,
